,collector_name,collector_address,collector_number,collector_nik,time_to_collect,avg_bill_methods,debtor_volume_handled,bill_amount_collected,total_actual,total_cost,success_rate,collector_zip,collector_rt,collector_rw,collector_birth_place,collector_age,collector_marital_status,collector_gender
108,William Barr,"Jl. S. Parman No. 9
Pontianak, Lampung 98346",+62-0920-844-3341,1476392991124086,0,sms or WA,5,14700000,36200000,53904,41.0,98346,17,9,"DKI Jakarta, 30-04-1985",38,Cerai hidup,laki-laki
109,Kyle Brown,"Gg. Pelajar Pejuang No. 5
Banjarbaru, SN 95727",+62 (074) 287-2262,9277005377565885,4,sms or WA,19,20300000,71300000,106358,28.000000000000004,95727,19,4,"Kalimantan Utara, 21-02-1983",40,Belum menikah,perempuan
110,Lindsay Cook,"Jalan Erlangga No. 568
Probolinggo, KB 02377",+62 (0645) 327-8727,7886172937185505,4,sms or WA,3,2400000,3700000,15765,65.0,2377,7,5,"Papua Barat, 03-09-1994",29,Menikah,perempuan
111,Ronald Cannon,"Gg. Sukajadi No. 08
Cilegon, Kepulauan Riau 93339",+62-0707-937-4297,2443329994660600,4,sms or WA,14,106400000,124600000,116152,85.0,93339,14,10,"Kalimantan Barat, 05-09-1975",48,Menikah,laki-laki
112,Brenda Campbell,"Gg. Tubagus Ismail No. 1
Pematangsiantar, BT 55756",+62 (20) 332 1559,6212247672455112,2,sms or WA,6,46900000,58700000,37007,80.0,55756,17,15,"Bengkulu, 18-08-1994",29,Cerai hidup,laki-laki
113,Nathan Welch,"Gang Jend. Sudirman No. 173
Batu, Papua 04360",+62 (77) 823 6306,5783571831440278,2,sms or WA,1,500000,500000,13138,100.0,4360,16,18,"Kalimantan Selatan, 01-07-1975",48,Cerai hidup,laki-laki
114,Tammy Jones,"Gg. Suryakencana No. 667
Padang, SU 72009",+62 (13) 184-4493,4823350384191683,4,sms or WA,2,7600000,17700000,10307,43.0,72009,11,9,"Jawa Tengah, 01-07-1995",28,Menikah,laki-laki
115,Laura Cox,"Gang M.H Thamrin No. 565
Kota Administrasi Jakarta Utara, RI 81812",+62-005-049-6970,2434105630613765,0,sms or WA,8,38000000,48000000,49759,79.0,81812,11,19,"Gorontalo, 09-08-1980",43,Menikah,perempuan
116,Justin Randolph,"Jalan R.E Martadinata No. 64
Samarinda, NT 28671",+62 (0379) 212-8528,9642118235824814,2,sms or WA,9,8800000,14600000,45848,60.0,28671,8,4,"Sumatera Barat, 15-11-1969",54,Cerai mati,laki-laki
117,Tiffany Rogers,"Jl. Antapani Lama No. 583
Kota Administrasi Jakarta Pusat, BT 47903",+62 (71) 419-7033,8810830664344000,0,sms or WA,16,13200000,47800000,112062,28.000000000000004,47903,9,14,"Maluku, 23-08-1973",50,Menikah,laki-laki
118,Christina Rodriguez DDS,"Jalan Ciwastra No. 63
Salatiga, Kalimantan Barat 35669",+62 (009) 598-8036,9402370424300513,1,sms or WA,15,37300000,110500000,140431,34.0,35669,20,17,"Papua, 26-11-1981",42,Menikah,perempuan
119,David Fischer,"Jl. Cikutra Timur No. 15
Bitung, Lampung 07381",+62 (0523) 859-5948,5918090550533673,2,sms or WA,15,70800000,103700000,148095,68.0,7381,18,7,"Aceh, 17-09-1996",27,Menikah,laki-laki
120,Linda Leon,"Jl. Tubagus Ismail No. 962
Tual, SR 14467",+62-090-126-6639,8594201147287348,2,sms or WA,3,12800000,19300000,29610,66.0,14467,10,14,"Sulawesi Selatan, 28-08-1981",42,Belum menikah,perempuan
121,Erin Peters,"Gang Jend. A. Yani No. 8
Palembang, Sulawesi Tenggara 70380",+62-84-828-5260,8930506551710004,4,sms or WA,6,44300000,58400000,57481,76.0,70380,17,16,"Maluku Utara, 07-04-1974",49,Cerai mati,perempuan
122,Elizabeth Thomas,"Jl. Rajawali Barat No. 8
Bandung, Riau 52003",+62-015-027-8921,7407419521784401,3,sms or WA,5,2500000,3000000,36458,83.0,52003,12,15,"Jawa Timur, 31-01-1969",54,Cerai hidup,perempuan
123,Jessica Kennedy,"Jalan Medokan Ayu No. 865
Tangerang Selatan, SS 02712",+62-55-209-3032,8951571647347113,3,sms or WA,10,15200000,35600000,103409,43.0,2712,13,16,"Kalimantan Tengah, 17-02-1962",61,Belum menikah,perempuan
124,Joshua Santos,"Jalan Jend. Sudirman No. 51
Balikpapan, YO 08489",+62 (034) 547 9842,3093651565126281,1,sms or WA,6,5700000,42800000,68865,13.0,8489,17,14,"Sulawesi Tenggara, 27-08-1982",41,Cerai mati,perempuan
125,Jeffrey White,"Jalan Pasteur No. 827
Jayapura, SS 04800",+62 (080) 785 6255,3831844550100518,3,sms or WA,1,4700000,9600000,6223,49.0,4800,9,19,"Kalimantan Selatan, 19-03-1982",41,Cerai mati,perempuan
126,Andrew Tyler,"Jalan Jakarta No. 826
Kota Administrasi Jakarta Selatan, KT 99951",+62 (67) 061-1977,1233875419766131,3,sms or WA,6,8300000,19100000,48834,43.0,99951,11,20,"Lampung, 31-08-1960",63,Cerai mati,laki-laki
127,Clarence Hughes,"Jl. Ahmad Dahlan No. 322
Kota Administrasi Jakarta Timur, SU 30704",+62-0857-351-2854,9287330340779671,0,sms or WA,6,19800000,29700000,68926,67.0,30704,18,15,"Aceh, 27-02-1970",53,Cerai hidup,perempuan
128,Brian Barnes,"Gang Rumah Sakit No. 50
Serang, Papua Barat 42337",+62 (215) 967 5093,1272162879103143,4,sms or WA,9,4100000,56700000,57529,7.000000000000001,42337,1,14,"Bengkulu, 06-04-1964",59,Belum menikah,perempuan
129,Brittany Horton,"Jalan Rajawali Timur No. 9
Cilegon, Kepulauan Riau 04539",+62 (960) 517 3178,7077433209298717,2,sms or WA,9,8400000,12700000,94221,66.0,4539,2,8,"Maluku Utara, 10-11-1992",31,Belum menikah,perempuan
130,Amy Jackson,"Gang Cihampelas No. 1
Kota Administrasi Jakarta Barat, Lampung 84059",+62 (0321) 375 6618,1682828151455844,4,sms or WA,4,13200000,14100000,45528,94.0,84059,20,4,"Gorontalo, 23-03-2000",23,Cerai hidup,perempuan
131,Jennifer Stanley,"Gg. Pasteur No. 1
Palangkaraya, Kalimantan Timur 77550",+62 (056) 491 4619,4220089644724951,3,sms or WA,4,19200000,37900000,42149,51.0,77550,12,18,"Lampung, 13-04-1989",34,Cerai mati,perempuan
132,Ashley Marshall,"Gg. KH Amin Jasuta No. 7
Binjai, Nusa Tenggara Barat 97220",+62 (823) 628 7402,4226951782369134,3,sms or WA,11,21000000,99400000,119414,21.0,97220,5,4,"Kalimantan Barat, 06-08-1961",62,Cerai hidup,laki-laki
133,Maria Jackson,"Gang Cihampelas No. 7
Surakarta, PB 74976",+62-281-025-6905,2078497457592788,3,sms or WA,6,35900000,40000000,52010,90.0,74976,8,16,"Bali, 01-12-1968",55,Menikah,laki-laki
134,Lauren Jensen,"Jl. K.H. Wahid Hasyim No. 9
Manado, Sulawesi Utara 79584",+62 (64) 692-5386,1593682300072349,3,sms or WA,18,16900000,41700000,94783,41.0,79584,16,20,"Bengkulu, 27-01-1975",48,Belum menikah,perempuan
135,Alexa Sanchez,"Jl. KH Amin Jasuta No. 94
Mojokerto, BA 72950",+62 (0612) 070-5439,9935197148126287,4,sms or WA,3,17400000,17800000,27398,98.0,72950,13,19,"Kalimantan Tengah, 24-06-1993",30,Menikah,laki-laki
136,Joseph Torres,"Jalan Suryakencana No. 4
Tegal, KT 55476",+62 (076) 887-2512,5252974636182513,2,sms or WA,16,7400000,11900000,94436,62.0,55476,20,11,"Papua, 03-10-1998",25,Belum menikah,laki-laki
137,Alexis Williams,"Gg. Soekarno Hatta No. 63
Kotamobagu, SS 98868",+62-45-951-7401,3823501746262114,2,sms or WA,13,12200000,73400000,111449,17.0,98868,10,10,"Papua, 24-02-1984",39,Belum menikah,perempuan
138,Taylor Long,"Jalan Sadang Serang No. 22
Sukabumi, JT 60270",+62 (18) 390-5821,8674743240924606,2,sms or WA,1,1200000,1700000,13564,71.0,60270,5,18,"Kalimantan Barat, 14-09-1991",32,Cerai mati,laki-laki
139,Tammy Nguyen MD,"Jl. Suniaraja No. 110
Yogyakarta, AC 80339",+62 (020) 994-6985,9860343218402912,0,sms or WA,12,19300000,39400000,118825,49.0,80339,8,9,"Lampung, 17-07-1962",61,Cerai mati,perempuan
140,Stephanie Williams,"Jl. Monginsidi No. 881
Gorontalo, MA 01657",+62 (401) 095-5823,5920371789461926,1,sms or WA,1,1600000,2200000,7704,73.0,1657,2,9,"Sumatera Selatan, 30-07-1963",60,Cerai mati,perempuan
141,David Hicks,"Jalan Raya Ujungberung No. 89
Payakumbuh, KT 37795",+62 (390) 518 5080,1857014381109081,0,sms or WA,17,27500000,48500000,131869,56.99999999999999,37795,10,10,"Sumatera Utara, 28-11-1979",44,Cerai hidup,perempuan
142,Paul Jimenez,"Gg. Raya Ujungberung No. 7
Gorontalo, Kepulauan Riau 54642",+62-0750-682-4016,2787554908543935,1,sms or WA,6,46800000,58800000,59746,80.0,54642,7,15,"Riau, 17-02-2000",23,Cerai mati,laki-laki
143,Jason Vega,"Jalan Sadang Serang No. 32
Metro, SS 28608",+62-060-702-5484,2700301126696294,3,sms or WA,1,1600000,2700000,19403,59.0,28608,16,20,"Maluku Utara, 08-08-1989",34,Cerai hidup,laki-laki
144,William Rivera III,"Jalan Erlangga No. 03
Pariaman, SB 20120",+62 (27) 325-1231,6426404327008240,2,sms or WA,5,3100000,46100000,34887,7.000000000000001,20120,4,3,"Jambi, 19-09-1985",38,Menikah,perempuan
145,Phillip Reed,"Jl. Tubagus Ismail No. 71
Makassar, Riau 56569",+62 (722) 479 3667,5018405929075663,0,sms or WA,15,46100000,59500000,83904,77.0,56569,9,11,"Lampung, 18-08-1997",26,Cerai hidup,laki-laki
146,Anne Lowery,"Gang Rungkut Industri No. 63
Tegal, ST 65163",+62-029-446-0962,8460756053846641,3,sms or WA,15,60000000,129500000,97819,46.0,65163,2,13,"Sulawesi Barat, 19-10-1977",46,Cerai hidup,laki-laki
147,Charles Arias,"Gang Dipenogoro No. 280
Banjarmasin, Aceh 45658",+62 (62) 650-7756,3593336899122331,3,sms or WA,4,15300000,35900000,42868,43.0,45658,5,15,"Sulawesi Tenggara, 20-10-1969",54,Menikah,perempuan
148,Tina Thompson,"Gang Erlangga No. 1
Tasikmalaya, SS 79188",+62 (269) 663-0894,4448393344941295,3,sms or WA,14,46600000,53400000,136309,87.0,79188,7,8,"Jawa Timur, 30-09-1963",60,Cerai mati,laki-laki
149,Jeanette Carter,"Gg. Gedebage Selatan No. 8
Pasuruan, KS 82175",+62 (571) 912-0081,3969754875695563,1,sms or WA,16,92400000,115300000,144025,80.0,82175,16,2,"Jambi, 20-03-1977",46,Menikah,laki-laki
150,Maxwell Martinez,"Gg. Raya Ujungberung No. 985
Kota Administrasi Jakarta Timur, Sumatera Selatan 16743",+62 (0592) 345 1093,3837830693883620,0,sms or WA,8,27400000,45000000,59288,61.0,16743,12,19,"Jawa Barat, 19-07-1981",42,Belum menikah,laki-laki
151,Michelle Carpenter,"Jalan Rajiman No. 197
Binjai, Jawa Timur 57837",+62 (07) 513-4033,8218671021726788,3,sms or WA,2,7400000,18400000,10457,40.0,57837,10,11,"Kalimantan Selatan, 23-03-1999",24,Cerai hidup,laki-laki
152,Belinda Hamilton,"Jl. Gegerkalong Hilir No. 27
Ternate, MU 87334",+62 (033) 439 0931,4240164059333498,0,sms or WA,1,1100000,1900000,9392,57.99999999999999,87334,9,15,"Maluku Utara, 06-12-1994",29,Menikah,laki-laki
153,Maurice David,"Gang Veteran No. 381
Prabumulih, BE 54867",+62 (0260) 799 4983,2052582548011888,4,sms or WA,3,27200000,28100000,20405,97.0,54867,3,8,"Nusa Tenggara Barat, 01-11-1988",35,Cerai hidup,laki-laki
154,Christopher Page,"Jalan Pacuan Kuda No. 4
Sungai Penuh, Sulawesi Tengah 39220",+62 (0391) 360-7259,3309697688801420,1,sms or WA,14,5800000,12000000,138478,48.0,39220,20,4,"Kalimantan Tengah, 31-05-1986",37,Belum menikah,perempuan
155,Steven Alvarado,"Gang Peta No. 24
Kota Administrasi Jakarta Barat, KS 53315",+62 (0834) 004-8369,7915205615819895,4,sms or WA,11,16900000,23400000,103917,72.0,53315,3,14,"Maluku Utara, 15-06-1997",26,Cerai mati,laki-laki
156,Sherry Ramirez,"Gg. Rajiman No. 276
Bukittinggi, LA 25919",+62 (046) 035 1349,6484801758711130,4,sms or WA,17,26500000,162200000,95902,16.0,25919,18,20,"Kalimantan Tengah, 14-09-1998",25,Cerai hidup,laki-laki
157,Dana Mitchell,"Jalan Merdeka No. 9
Tebingtinggi, Maluku 07622",+62 (523) 125 1521,6250450197878363,3,sms or WA,15,12800000,26200000,155927,49.0,7622,17,5,"Sumatera Barat, 18-04-1971",52,Cerai hidup,perempuan
158,Joe Good,"Jl. Ciumbuleuit No. 044
Cilegon, Sumatera Barat 70728",+62 (02) 914-3684,4198885864035984,0,sms or WA,4,11600000,35100000,20680,33.0,70728,7,13,"Maluku, 15-03-1982",41,Belum menikah,laki-laki
159,Stephen Lee,"Gg. Dr. Djunjunan No. 4
Tarakan, JK 18302",+62-090-511-3257,6266983748483711,1,sms or WA,18,48900000,88300000,152790,55.00000000000001,18302,9,17,"Kalimantan Barat, 30-03-1968",55,Belum menikah,perempuan
160,Rebecca Cole,"Gg. Dr. Djunjunan No. 024
Metro, KT 60930",+62 (025) 467-1656,5931672242024229,3,sms or WA,13,10800000,121700000,117184,9.0,60930,16,16,"Gorontalo, 16-11-1971",52,Belum menikah,perempuan
161,Amanda Cervantes,"Gang Antapani Lama No. 914
Batu, Sulawesi Barat 86190",+62 (69) 032 0014,6279572917399888,4,sms or WA,10,7600000,14100000,73727,54.0,86190,13,8,"Sulawesi Tenggara, 16-04-1984",39,Cerai mati,laki-laki
162,Anthony Sloan,"Gang Waringin No. 54
Bima, BA 53706",+62 (0439) 314 3155,2186148392738495,2,sms or WA,16,24700000,75900000,113981,33.0,53706,10,17,"Sumatera Barat, 17-11-1962",61,Menikah,laki-laki
163,Christine Boyd,"Jl. Sukabumi No. 7
Subulussalam, SS 27637",+62 (23) 382 7024,8083723668523109,3,sms or WA,9,68400000,73300000,97948,93.0,27637,5,13,"Kalimantan Tengah, 29-12-1963",60,Menikah,laki-laki
164,William Rodriguez,"Jalan KH Amin Jasuta No. 111
Bontang, Kalimantan Timur 31200",+62-68-282-3589,8625294309269653,0,sms or WA,18,79500000,157100000,96770,51.0,31200,9,9,"Bali, 31-07-1991",32,Cerai mati,laki-laki
165,Christopher Washington,"Gg. Rajawali Timur No. 4
Balikpapan, Sulawesi Tengah 79816",+62 (081) 252-4152,3103770477604125,2,sms or WA,11,4600000,5500000,86540,84.0,79816,19,2,"DKI Jakarta, 13-12-1961",62,Cerai hidup,perempuan
166,Samuel Douglas,"Gg. Rajawali Barat No. 899
Medan, Kalimantan Tengah 93318",+62 (149) 143-8014,3863411735209688,4,sms or WA,18,13800000,44100000,94796,31.0,93318,17,19,"Maluku, 03-03-1964",59,Menikah,perempuan
167,Elizabeth Fox,"Gg. Tebet Barat Dalam No. 7
Binjai, MU 72712",+62 (041) 553 2356,4430014220122993,4,sms or WA,10,9000000,30400000,101431,30.0,72712,17,7,"Jawa Timur, 24-12-1998",25,Menikah,laki-laki
168,Emma Thomas DDS,"Gg. Waringin No. 4
Palembang, JK 74306",+62-004-194-9527,6197423212556688,3,sms or WA,9,56000000,86500000,54846,65.0,74306,1,11,"Kalimantan Selatan, 12-02-1992",31,Belum menikah,perempuan
169,Jacqueline Henson,"Gg. Gedebage Selatan No. 27
Meulaboh, Papua Barat 80408",+62-224-455-6454,9999069226932280,4,sms or WA,9,7100000,13300000,59543,53.0,80408,1,1,"Sumatera Utara, 19-10-1982",41,Belum menikah,laki-laki
170,Jonathan Howard,"Jalan Kendalsari No. 581
Binjai, Banten 74036",+62 (98) 348-3535,6457894918865236,3,sms or WA,10,12600000,33800000,83687,37.0,74036,13,4,"Jambi, 12-06-1983",40,Cerai hidup,laki-laki
171,Sarah May,"Gg. K.H. Wahid Hasyim No. 2
Padang, KB 30176",+62 (0271) 663 6040,4768621069723807,2,sms or WA,7,21400000,31000000,54582,69.0,30176,7,9,"Nusa Tenggara Barat, 14-03-1971",52,Cerai mati,laki-laki
172,Jacqueline Rose,"Jalan Rajawali Timur No. 11
Metro, MA 90759",+62-04-048-9081,2182668453856316,1,sms or WA,11,88700000,106800000,82684,83.0,90759,17,4,"Kepulauan Bangka Belitung, 30-01-1987",36,Cerai mati,perempuan
173,Stacey Morrow,"Gg. Cikutra Barat No. 570
Tasikmalaya, Kalimantan Selatan 49438",+62 (062) 140 3301,5921256880926301,4,sms or WA,8,19700000,34100000,43280,57.99999999999999,49438,11,8,"Bali, 28-08-1963",60,Menikah,laki-laki
174,Louis Porter,"Gg. BKR No. 16
Bandar Lampung, Kalimantan Utara 73014",+62 (29) 908-2240,5564804908869279,2,sms or WA,9,31300000,61000000,80046,51.0,73014,17,14,"Lampung, 15-06-1960",63,Menikah,laki-laki
175,Kathleen Davis,"Jalan H.J Maemunah No. 8
Dumai, KT 74934",+62 (026) 863 2002,3071031858976271,4,sms or WA,11,29400000,43800000,81997,67.0,74934,10,9,"Aceh, 29-05-1998",25,Menikah,laki-laki
176,Margaret Henry,"Jl. Wonoayu No. 38
Palu, Kepulauan Bangka Belitung 87966",+62-102-832-7932,8554823497754611,4,sms or WA,12,19200000,79100000,90460,24.0,87966,19,10,"Kepulauan Bangka Belitung, 30-07-1993",30,Belum menikah,perempuan
177,Michele Navarro,"Jl. Ciumbuleuit No. 028
Dumai, MA 24232",+62 (354) 467 5625,2794455907727453,0,sms or WA,12,10600000,95000000,73491,11.0,24232,6,14,"Papua, 15-02-1961",62,Menikah,laki-laki
178,Joel Andrade,"Jalan Pasirkoja No. 6
Dumai, Papua 66746",+62 (056) 606-5002,4795572383293595,1,sms or WA,19,11400000,55300000,151720,21.0,66746,14,3,"Nusa Tenggara Barat, 16-04-1970",53,Belum menikah,laki-laki
179,Sarah Long,"Gg. Ahmad Yani No. 0
Cimahi, JB 01045",+62 (0600) 448-3464,2229641792807011,0,sms or WA,15,11800000,27300000,116284,43.0,1045,2,8,"Sulawesi Selatan, 13-12-1975",48,Menikah,laki-laki
180,Chad Wright,"Gg. Siliwangi No. 25
Batam, Gorontalo 68492",+62-25-356-6123,9421735375687639,3,sms or WA,19,132800000,143300000,191835,93.0,68492,2,17,"Jambi, 19-06-1971",52,Menikah,perempuan
181,Todd Mendez,"Gang Tebet Barat Dalam No. 598
Langsa, YO 80846",+62-023-776-2878,7343030210707655,1,sms or WA,16,54500000,57600000,103361,95.0,80846,17,1,"Gorontalo, 01-06-1978",45,Cerai hidup,laki-laki
182,Stephen Stokes,"Jalan Kapten Muslihat No. 006
Tual, Papua Barat 95415",+62 (307) 294-4505,4505512388355857,4,sms or WA,10,34600000,46400000,74519,75.0,95415,12,17,"Jawa Timur, 11-04-1972",51,Belum menikah,perempuan
183,Sydney Nelson,"Jalan Erlangga No. 1
Batam, Riau 20042",+62 (0566) 415 3340,2595971559284300,2,sms or WA,19,56200000,177900000,127334,32.0,20042,13,7,"Jawa Barat, 07-11-1993",30,Cerai mati,laki-laki
184,Andrew Hamilton MD,"Gang Surapati No. 436
Padang, RI 83359",+62 (092) 471 0735,5407309847179264,3,sms or WA,4,5500000,12300000,36015,45.0,83359,14,4,"Bali, 17-12-1973",50,Menikah,perempuan
185,Richard Charles,"Gg. Pasteur No. 47
Magelang, Sulawesi Utara 04739",+62 (34) 553 0536,8769465777326167,2,sms or WA,19,50500000,130200000,179773,39.0,4739,5,19,"Sulawesi Selatan, 01-07-1964",59,Cerai hidup,laki-laki
186,Charles Hall,"Jl. Merdeka No. 72
Sukabumi, Sulawesi Barat 66651",+62 (0482) 493-9846,2593416490732441,0,sms or WA,12,28400000,30900000,66176,92.0,66651,20,17,"Sulawesi Utara, 10-02-1985",38,Cerai hidup,laki-laki
187,Edwin Perry,"Gg. Cihampelas No. 019
Pekalongan, Nusa Tenggara Timur 49853",+62 (061) 509-3436,8428638305917461,3,sms or WA,19,101300000,166100000,112558,61.0,49853,9,12,"Sulawesi Selatan, 26-09-1998",25,Belum menikah,laki-laki
188,Jordan Reid,"Jl. Moch. Ramdan No. 76
Salatiga, Sumatera Barat 26269",+62 (0041) 444 3385,7930127484100785,2,sms or WA,4,15100000,19900000,20913,76.0,26269,16,1,"Kalimantan Tengah, 11-02-1985",38,Menikah,perempuan
189,Mary Duran,"Jl. Medokan Ayu No. 459
Sungai Penuh, Bali 32797",+62 (0826) 444 4121,4855914522548241,1,sms or WA,16,25000000,25300000,95997,99.0,32797,11,13,"Kalimantan Timur, 12-10-1979",44,Menikah,laki-laki
190,Ethan Fuller,"Gang Gegerkalong Hilir No. 2
Kupang, Riau 18581",+62-069-695-1840,9745790829528639,0,sms or WA,1,1400000,3500000,9187,40.0,18581,9,20,"Banten, 28-03-1991",32,Menikah,perempuan
191,Vickie Reid,"Jalan R.E Martadinata No. 660
Prabumulih, NT 14023",+62-017-696-6904,2680222044677999,2,sms or WA,7,10000000,33100000,64132,30.0,14023,6,10,"Aceh, 12-06-1966",57,Cerai mati,perempuan
192,Elizabeth Sullivan,"Jl. Dr. Djunjunan No. 959
Kendari, Jawa Timur 02141",+62 (0996) 408 8760,2135936008075826,1,sms or WA,7,6200000,6400000,59639,97.0,2141,4,13,"Gorontalo, 31-03-1983",40,Cerai mati,laki-laki
193,Dale Alexander,"Jalan Monginsidi No. 84
Kota Administrasi Jakarta Timur, JK 35777",+62 (38) 128-8847,1555119870221233,1,sms or WA,11,56600000,59600000,91550,95.0,35777,20,7,"Sulawesi Selatan, 15-02-1968",55,Cerai hidup,perempuan
194,Mrs. Bianca Houston,"Jalan Dipenogoro No. 833
Batam, NT 39873",+62 (0086) 392-0127,1776956716109395,1,sms or WA,3,5900000,11900000,30599,50.0,39873,3,15,"Riau, 28-12-1988",35,Menikah,laki-laki
195,Steven Brennan,"Jalan Kiaracondong No. 41
Bandar Lampung, Sumatera Utara 06913",+62 (0471) 311-2115,6271563141009027,1,sms or WA,15,9900000,58700000,159977,17.0,6913,14,6,"Papua Barat, 16-04-1979",44,Menikah,laki-laki
196,Sharon Hart,"Jalan Jend. A. Yani No. 6
Bitung, Jawa Barat 62253",+62-054-620-6477,3980394397014507,0,sms or WA,13,14800000,59200000,99031,25.0,62253,14,13,"Kepulauan Riau, 07-02-1960",63,Belum menikah,perempuan
197,Amanda Hamilton,"Jalan Tubagus Ismail No. 3
Pasuruan, KT 09957",+62-084-640-0899,2565640777256677,0,sms or WA,6,5600000,9300000,64786,60.0,9957,4,5,"Sulawesi Selatan, 10-04-1962",61,Belum menikah,perempuan
198,Sarah Williams,"Gang Joyoboyo No. 98
Kota Administrasi Jakarta Pusat, KU 68938",+62 (799) 767 9168,5007113418812447,2,sms or WA,2,9500000,10000000,14617,95.0,68938,8,13,"Sulawesi Utara, 27-12-1960",63,Belum menikah,perempuan
199,Isaac Dunn,"Gang Rawamangun No. 40
Banjarbaru, Jawa Barat 65676",+62 (576) 167 6993,9679164465161101,1,sms or WA,6,4400000,24200000,57542,18.0,65676,19,7,"Sulawesi Tengah, 12-02-1968",55,Cerai hidup,perempuan
200,Christina Dunn,"Jl. Surapati No. 4
Palopo, Jawa Barat 83828",+62 (0569) 858 1985,9320081199664864,4,sms or WA,12,21100000,108600000,112989,19.0,83828,1,14,"Kalimantan Utara, 24-11-1997",26,Menikah,laki-laki
201,Joshua Baxter,"Jl. Soekarno Hatta No. 138
Depok, AC 31036",+62 (022) 217-5432,4647152139136223,4,sms or WA,17,8600000,24200000,111292,36.0,31036,16,13,"Maluku Utara, 06-05-1990",33,Menikah,perempuan
202,Elizabeth Juarez,"Jalan Cikutra Timur No. 881
Magelang, SS 57995",+62 (48) 150-1440,8486713574858574,2,sms or WA,10,25300000,49600000,101404,51.0,57995,11,18,"Papua Barat, 09-10-1963",60,Cerai mati,perempuan
203,Danielle Hamilton,"Gang Suryakencana No. 10
Kendari, Kepulauan Bangka Belitung 56631",+62 (025) 605 4208,9068149422089570,3,sms or WA,9,7600000,8000000,90932,95.0,56631,9,4,"Kalimantan Selatan, 19-11-1970",53,Cerai hidup,perempuan
204,Stephen Hunter,"Jalan Moch. Ramdan No. 97
Tanjungpinang, Kepulauan Riau 39837",+62-054-312-3027,9603848819670585,0,sms or WA,4,9900000,22700000,32007,44.0,39837,18,19,"Kalimantan Selatan, 18-07-1998",25,Cerai hidup,laki-laki
205,Lucas Clements,"Jalan Otto Iskandardinata No. 95
Langsa, LA 51251",+62 (004) 666 1739,9246265120403295,1,sms or WA,15,143000000,149700000,139294,96.0,51251,1,19,"Nusa Tenggara Barat, 30-01-1988",35,Cerai hidup,laki-laki
206,Travis Wilkerson,"Gg. Rungkut Industri No. 8
Pematangsiantar, Kalimantan Timur 61910",+62 (057) 291-8540,8904517041367906,4,sms or WA,2,4300000,5000000,15591,86.0,61910,9,8,"Sulawesi Utara, 27-02-1967",56,Cerai mati,laki-laki
207,Sheena Hamilton,"Gang Cihampelas No. 551
Depok, Sulawesi Utara 10735",+62 (080) 422 3448,5947453843541513,4,sms or WA,4,7100000,13200000,21128,54.0,10735,11,8,"Jawa Barat, 30-04-1999",24,Menikah,perempuan
208,Angela Johnson,"Jalan Cikapayang No. 00
Pagaralam, DKI Jakarta 32827",+62 (602) 473 0938,8396290383626943,4,sms or WA,19,66000000,141400000,104405,47.0,32827,1,17,"Kalimantan Timur, 08-12-1981",42,Menikah,laki-laki
209,Melinda Beltran,"Jalan Rajiman No. 8
Palangkaraya, BT 15075",+62 (0200) 250 0181,5986526454993538,4,sms or WA,12,39300000,106500000,95289,37.0,15075,4,20,"Sulawesi Selatan, 12-02-1998",25,Cerai mati,laki-laki
210,Casey Schmidt,"Gg. Kebonjati No. 03
Binjai, SR 47284",+62-246-783-1651,4267645214953594,4,sms or WA,1,4000000,5300000,8705,75.0,47284,7,13,"Kalimantan Timur, 23-10-1982",41,Menikah,laki-laki
